Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Power,Temp_diff,Tool_Torque
2,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,66382.79999999999,10.5,0.0
3,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,65190.399999999994,10.5,138.89999999999998
3,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,74001.2,10.399999999999977,247.0
3,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,56603.5,10.400000000000034,276.5
3,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,56320.0,10.5,360.0
2,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,59707.5,10.5,460.9
3,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,66059.2,10.5,593.6
3,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,61385.4,10.5,643.2
2,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,47676.200000000004,10.399999999999977,514.8000000000001
2,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,48748.0,10.5,588.0
1,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,42589.799999999996,10.5,573.5999999999999
1,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,63038.899999999994,10.5,1284.6999999999998
2,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,68422.90000000001,10.5,1737.4
2,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,52260.0,10.599999999999966,1110.0
3,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,39886.0,10.599999999999966,784.0
3,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,74632.8,10.599999999999966,2032.8
2,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,61092.6,10.599999999999966,2050.4
2,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,64296.0,10.5,2143.2000000000003
1,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,71177.0,10.399999999999977,2725.0
2,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,53040.0,10.400000000000034,1787.5
1,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,58712.50000000001,10.400000000000034,2476.6000000000004
3,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,64959.99999999999,10.5,2822.3999999999996
2,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,48536.7,10.400000000000034,1995.5
3,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,45180.6,10.399999999999977,1747.6
2,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,58225.299999999996,10.399999999999977,2611.0
3,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,43361.3,10.5,1700.9
3,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,58968.0,10.399999999999977,2925.0
1,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,44550.600000000006,10.299999999999955,1894.2
3,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,63603.8,10.299999999999955,3624.4
3,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,50959.3,10.399999999999977,2528.4
2,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,64539.8,10.399999999999977,4145.2
3,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,45849.0,10.399999999999977,2269.5
3,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,68537.7,10.399999999999977,4395.3
3,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,54112.5,10.400000000000034,3022.5
2,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,54097.3,10.300000000000011,3296.5000000000005
2,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,70567.2,10.399999999999977,4762.8
2,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,58022.700000000004,10.300000000000011,3706.7000000000003
3,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,56408.8,10.300000000000011,4076.8
1,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,69915.3,10.300000000000011,5374.200000000001
3,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,70875.0,10.300000000000011,5827.5
3,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,61834.799999999996,10.300000000000011,5130.2
3,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,69494.4,10.300000000000011,5842.0
2,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,67168.8,10.300000000000011,5744.7
1,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,66542.0,10.399999999999977,5820.0
2,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,69920.0,10.300000000000011,5937.5
3,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,73109.90000000001,10.300000000000011,6284.8
2,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,47549.4,10.300000000000011,3354.0
3,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,65653.4,10.300000000000011,6157.9
1,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,76807.5,10.399999999999977,7276.5
2,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,62269.200000000004,10.300000000000011,6174.0
3,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,13160.599999999999,10.200000000000045,657.8
3,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,75926.7,10.200000000000045,7960.5
1,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,65568.59999999999,10.199999999999989,6438.599999999999
3,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,54931.5,10.300000000000011,5335.2
3,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,50899.100000000006,10.300000000000011,4635.400000000001
3,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,61538.4,10.300000000000011,6349.200000000001
3,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,62624.799999999996,10.300000000000011,6699.2
3,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,60973.899999999994,10.300000000000011,6448.0
2,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,48999.5,10.199999999999989,4779.0
3,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,74963.2,10.300000000000011,8976.0
3,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,73271.8,10.300000000000011,8784.2
2,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,60814.4,10.199999999999989,6455.8
3,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,41884.1,10.199999999999989,3938.7999999999997
2,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,46930.799999999996,10.100000000000023,4506.599999999999
3,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,58787.8,10.100000000000023,6832.2
3,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,62869.4,10.100000000000023,8072.900000000001
2,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,48187.299999999996,10.0,5194.7
1,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,64650.6,10.099999999999966,8114.400000000001
3,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,49474.799999999996,10.099999999999966,6123.599999999999
3,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,92637.0,10.100000000000023,12548.7
2,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,43482.4,10.100000000000023,4361.8
3,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,66066.0,10.200000000000045,8918.0
3,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,60783.6,10.200000000000045,8791.199999999999
3,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,55720.0,10.100000000000023,7000.0
3,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,51712.299999999996,10.100000000000023,6524.599999999999
3,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,64399.3,10.099999999999966,9526.800000000001
3,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,69981.9,10.099999999999966,9867.4
3,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,60091.49999999999,10.099999999999966,8590.4
3,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,71997.0,10.099999999999966,0.0
3,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,53135.799999999996,10.099999999999966,75.8
1,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,72105.5,10.0,199.6
3,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,68875.0,10.0,427.5
3,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,59282.399999999994,10.0,448.79999999999995
3,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,58906.9,10.0,521.3000000000001
3,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,67687.2,10.0,714.0
2,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,48347.200000000004,10.0,455.6
1,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,63040.4,10.0,878.0
3,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,49099.200000000004,10.0,795.0
2,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,64138.8,10.0,1220.4
2,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,58736.5,10.0,1185.0
3,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,45227.4,10.0,851.4
3,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,45567.0,10.0,871.5
2,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,46801.700000000004,10.0,1002.7
3,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,62350.0,9.899999999999977,1720.0
3,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,51741.799999999996,9.899999999999977,1339.8
2,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,70522.2,10.0,2296.8
2,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,55597.49999999999,10.0,1659.1
2,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,52325.0,10.0,1495.0
3,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,49998.3,9.900000000000034,1733.1000000000001
3,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,67621.2,10.0,2442.0
3,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,46300.0,10.099999999999966,1425.0
3,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,41213.7,10.0,1221.3
3,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,63133.0,10.0,2476.6
2,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,58360.5,10.0,2551.5
3,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,62930.0,9.899999999999977,2864.4
3,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,49480.100000000006,9.899999999999977,2114.8
3,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,70082.5,9.899999999999977,3395.0
2,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,70059.59999999999,10.0,3369.6
1,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,53006.700000000004,9.900000000000034,2452.5
3,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,53605.200000000004,9.800000000000011,2728.0
3,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,42120.0,9.800000000000011,1845.0
1,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,65206.5,9.900000000000034,3654.0
2,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,59171.0,9.899999999999977,3515.5
2,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,62263.4,9.800000000000011,3854.7999999999997
3,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,49392.0,9.800000000000011,2793.0
3,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,65396.700000000004,9.800000000000011,4432.900000000001
3,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,53332.4,9.800000000000011,3375.9
3,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,52767.0,9.800000000000011,3333.0
2,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,47966.700000000004,9.800000000000011,2894.3
3,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,59706.9,9.800000000000011,4314.200000000001
3,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,64055.100000000006,9.800000000000011,4827.6
3,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,64189.600000000006,9.800000000000011,4532.0
3,299.0,308.8,1310,50.7,112,0,0,0,0,0,0,66417.0,9.800000000000011,5678.400000000001
3,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,67096.4,9.800000000000011,4947.599999999999
3,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,50773.799999999996,9.800000000000011,3410.3999999999996
3,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,50232.00000000001,9.700000000000045,3799.6000000000004
3,299.0,308.6,1329,60.5,120,0,0,0,0,0,0,80404.5,9.600000000000023,7260.0
3,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,65704.5,9.700000000000045,5673.0
3,299.0,308.6,1587,38.6,124,0,0,0,0,0,0,61258.200000000004,9.600000000000023,4786.400000000001
3,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,53473.7,9.600000000000023,4321.799999999999
3,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,60540.3,9.599999999999966,5260.8
3,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,48114.9,9.599999999999966,3601.0
2,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,62251.200000000004,9.699999999999989,5702.400000000001
2,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,70928.0,9.699999999999989,6696.0
3,298.8,308.4,1369,53.0,138,0,0,0,0,0,0,72557.0,9.599999999999966,7314.0
2,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,48763.5,9.699999999999989,3990.0
1,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,64894.00000000001,9.800000000000011,6535.1
